execucao_id,data_entrega,loja,hora_recebimento,demanda_volume,demanda_peso,tipo_entrega,jornada,placa,tipologia,volume_entregue,peso_entregue,capacidade_volume,capacidade_peso,valorFrete,hora_saida
1,2022-01-27,L839,18:56,10.16,1702.3,R,2,NTM2735,TOCO,21.46,4053.1000000000004,55.0,6000.0,588.0895,18:02
1,2022-01-27,L503,20:09,11.3,2350.8,R,2,NTM2735,TOCO,21.46,4053.1000000000004,55.0,6000.0,588.0895,18:02
1,2022-01-27,0_CDRJ,21:29,0.0,0.0,G,2,NTM2735,TOCO,21.46,4053.1000000000004,55.0,6000.0,588.0895,18:02
1,2022-01-28,0_CDRJ,01:02,0.0,0.0,G,1,NTN3E52,3/4,12.73,4804.9,36.0,5000.0,602.99,15:49
1,2022-01-27,L069,19:00,12.73,4804.9,G,1,NTN3E52,3/4,12.73,4804.9,36.0,5000.0,602.99,15:49
1,2022-01-27,L583,10:00,14.57,3063.4,G,1,NTP7A42,3/4,17.560000000000002,4200.4,36.0,5000.0,634.07,08:40
1,2022-01-27,9982,13:29,2.99,1137.0,G,1,NTP7A42,3/4,17.560000000000002,4200.4,36.0,5000.0,634.07,08:40
1,2022-01-27,0_CDRJ,17:21,0.0,0.0,G,1,NTP7A42,3/4,17.560000000000002,4200.4,36.0,5000.0,634.07,08:40
1,2022-01-28,L230,00:09,10.05,1824.9,G,2,NTP7A42,3/4,20.3,3668.9,36.0,5000.0,929.2879999999999,20:09
1,2022-01-28,0_CDRJ,04:01,0.0,0.0,G,2,NTP7A42,3/4,20.3,3668.9,36.0,5000.0,929.2879999999999,20:09
1,2022-01-27,L606,20:40,10.25,1844.0,G,2,NTP7A42,3/4,20.3,3668.9,36.0,5000.0,929.2879999999999,20:09
1,2022-01-27,9970,07:00,2.01,1165.1,G,1,OGV3C08,VUC,3.54,1719.1999999999998,18.0,2300.0,641.31,05:59
1,2022-01-27,9188,11:15,1.53,554.1,G,1,OGV3C08,VUC,3.54,1719.1999999999998,18.0,2300.0,641.31,05:59
1,2022-01-27,0_CDRJ,15:19,0.0,0.0,G,1,OGV3C08,VUC,3.54,1719.1999999999998,18.0,2300.0,641.31,05:59
1,2022-01-28,5412,00:09,7.16,1491.9,G,2,OGV3C08,VUC,8.73,2148.1000000000004,18.0,2300.0,545.1134999999999,19:43
1,2022-01-28,0_CDRJ,03:35,0.0,0.0,G,2,OGV3C08,VUC,8.73,2148.1000000000004,18.0,2300.0,545.1134999999999,19:43
1,2022-01-27,9112,20:40,1.57,656.2,G,2,OGV3C08,VUC,8.73,2148.1000000000004,18.0,2300.0,545.1134999999999,19:43
